label,sentence
0,specificity when it comes to instructions
1,nag papanood siya ng mga halimbawa when he teach para mas lalong maunawaan ng mga studyante ang kanyang tinuturo.
1,handling the schedule properly
0,the areas that he needs to improve are the teaching skills that he has.
1,i guess...none. because not being accessible outside class hours is okay. we all have our own life and i understand that.
0,in specificity when it comes to instructions
1,even though they were having difficulty with the schedules they were working with and he was able to find a way to help us.
1,none. he's great in discussing things about our subject.
0,improvement is confident
0,he still needs to build his relationship with the students by understanding their feelings and opinions.
1,nothing at all
1,none. he's reachable and can understand every students situation encountered
1,even though they were having difficulty with the schedules they were working with and he was able to find a way to help us
1,nagreresponse agad si sir if may tanong.
0,create an activities that would give a motivation to the students.
1,i don't see anything that need to improve.
0,in giving instructions
0,the whole semester is all about reporting. i really want this course especially i do advance readings but it became boring because our classmates are the reporters. he should use video presentations and artworks as visual aids. his choice of words must be observed every day.
0,improvement is how to confident
0,teaching skills and behavior
0,"-need improvements in the module
-should try to explain each topic in a way that students will understand.
-should try to be attentive at all times and doesn't confused easily"
0,medyo nakakapressure po kahit bihira lang magtawag.
0,incorrect modules makes us confused
0,sa module po na lesson namin lagi pong mali di po niya pinapalitan yung na tamang module at sana po next mag record po sya ng lesson po pra na babalikan ng student
0,clarity of materials to be presented
0,"even though i already encountered some of our lessons during shs, i don't really understand the way she explains the lessons. it makes me confuse and lets me think that why does the lesson i had already learned before became hard to understand."
0,sana po ay mas madali po syang ma-reach para po sa concerns ng mga students.
0,"madaming mali sa module, knowing na stat yung subject nya, sobrang hirap intindihin kung puro typo."
0,being responsive to concerns
0,"-should make other presentations
"
0,puro lang po lagi report
0,should maximize the use of technology and learn how to use presentation as it can help us students to understand the topic better. also avoid pushing strong personal opinions to students specially if it is different in their choice.
0,"he let's the students report all the time and just give a little background about it but its ok. sometimes not approachable, he's irritating for some questions and inquiries"
0,"lahat ng 8 ko na subject , ito ang hindi namin alam na nagkaklase pala siya. kasi may gc pla siya, sa attendace syempre dapat matatawag kami dyan kasi may grade yon e. midterm na namin nalaman na may klase pala kasi diba dapat sa lms ka magbibigay ng link and all bukod na may groupchat pla yung section na iyon. syempore may fault din naman kami, pero yung parang hindi aware na wala pala kami sa mga klase kasi hindi kami naiinform ng ibang pinagtatanungan namin. (wala nababanggit sa amin ) maging responsible tayo sa mga students natin. kasi siya lang ang prof ko na hindi aware na may hindi nakakapasok na student niya. yun lang"
0,provide a module for us to review for the exam.
0,provide more examples
0,minsan po need niya mag check ng email niya 🙂
0,"kind hard to understand, low volume of voice and do not rush"
0,maybe he can be more approachable since there are times that he is kind of intimidating.
0,availability outside class hours
1,i can't distuingish any
0,will never forget na holiday nagbigay siya ng task to be submitted the day after tomorrow. medyo mahirap pa naman yung topic that time.
0,"should be more mindful of her class and give announcement if can't enter a class because the students are waiting.
"
0,"time management, when it comes uploading documents/lessons late"
0,late po pag nag post ng activity sa lms
1,i can't distinguish any
0,she's too busy kaya minsan lang namin siya mameet
0,communication with the students
1,there's no need to improve. he is well-known as good instructor.
1,i don't really know because it is good enough
0,becuause very improvements in our lesson and discussion
1,"sarcasm is good, but i hope it tones down a little bit."
0,hindi namin siya nameet kahit isang beses. our class had been waiting for his announcement tapos inaantay nya pala kaming magbigay ng day kung kelan namin gusto mag set ng meet hanggang sa nag end na ang class hehehe
0,should try to initiate a class and don't just wait for the students decision.
0,should be the one to initiate class meetings.
0,sana po mag turo sya ksi po di po talaga sya namin na meet since day one
0,"don't no yet, haven't met him."
0,to have a clear intructions about schedules and stuff. to have time to discuss the module.
0,should speak more lively.
1,i can't distinguish any.
0,hand outs or module completeness
0,matagal mag pa attendance po
0,"he's our prof , di lang namin gets bakit mas mahaba yung time ng deadline ng arm lagi kumpara sa ast."
0,should be more considerate to students and extend time of deadline for activities
0,needs to slow down when teaching. still understandable since we have very little time to meet before exams
0,i really didn't like your idea of letting us take the seatwork and long quiz on the very same day.
0,"-be more considerate to all students.
-extend time of deadline for activities because 10-15 minutes is not ideal when dealing with theoretical questions.
-provide activities on the asynchronous time given and not within the synchronous session."
0,listen to student's concern
0,"i hope sir, can give more examples for us to better understand the technical terms."
0,maybe there should be an improvement in the pace of the discussions. :)
0,makinig po sa concern ng students
0,need to use more comprehensible accounting terms so students can follow what he is saying.
0,be more explanatory and medyo bagalan ang pagtuturo. :)
0,"-should extend time of deadline for activities
-provide more example
-understand that not all students can learn easily
-try to adjust and hear students' concern"
0,"siguro po medyo dalian yung mga activity kasi may mga bagong term na di familiar. if possible, ituro po lahat ng examples na pedeng ma-encounter."
0,ituro po lahat ng examples na pwede pong ma-encounter
0,he needs to broaden his mind. i really don't like his mindset of leeting us take the seatwork and long quiz at the same day and 2 days before the final examination. he needs to be more transparent about the grades of his students and not just let them wonder of what to happen next.
0,"i hope sir, can give enrichment activities so that we can have a practice and review before the quiz nd examination."
0,"way of teaching, voice should be louder and clear. listen to student's suggestions"
0,"-be more considerate to all students.
-extend time of deadline for activities
-provide activities on the asynchronous time given and not within the synchronous session.
-provide more examples 
-make activities based on the examples given"
0,i think it would be better to have short pauses or break every once in a while during lecture for the students to fully absorb the topics since the subject is kinda difficult.
0,clear explanation
0,masyadong mabilis mag turo. better po siguro kung mag discuss siya ng topic mag bigay ng background konti and not to assume na alam na nung student yung topic kasi nadiscuss na before.
0,be more connected with students.
0,recall the past topic for the students to get what he teaches.
0,makinig po ng concern ng mga student
0,explain the lesson more briefly
0,modules or lessons are quite hard to understand than the actual teaching
1,i can't distinguish any.
0,sobrang tagal po niya mag pa attendance
0,medyo mabagal magsalita hehe. nitong finals puro recorded lec na better sana kung actual meeting
0,should try to speak a little faster and more lively
0,a longer discussion
0,he should minimize the activities his giving to his students.
0,"sadly, during the latter part of the sem, he didn't schedule synchronous sessions which made it difficult for us to catch up. plus i think that the time that he gave during for our final quiz is not enough. 30 mins for 10 problems is really stressful and most of us actually resorted to just guessing the answers."
0,"if possible, maturo lahat ng sample problems dahil may mga terms na di familiar"
1,i can't distinguish any.
0,"take time to explain , do not rush"
0,wag sya mag madali mag turo
0,the learning materials given are not enough . need more illustrations since this subject in particular is complicated.
0,"mabilis mag turo, more on readings lang ginagawa instead na iexplain"
0,should explain each entry and topic with more clarity and don't just read the module.
0,updating module(activities given) contents with the changes in acctg standards
0,take it easy on your students when you give them exercises.
0,the students need more examples of computation.
0,to area of teaching when the teachers has pontential and flexible in classroom
0,please be updated for some announcements regarding the field study course.
0,to area of teahing when improve that teacher has a flexible in classroom.
0,he should give feedbacks in the activities of the students.
0,i hope that our class must follow the schedule
0,"announcing important events at appropriate times (e.g., 3-5 days before the said event)"
0,means of communication
0,understanding the situation of a students and always try to listen to the conerns.
1,"i think none, because she is good at teaching. and she is very understanding person to us."
1,thank you maam
0,learn more about using current technologies.
0,engagement in technologies
0,technical capabilities
1,none for me
1,good in explaining the lessons
0,he needs to put more simple yet strategic tutorial for his course since his course is quite hard :>
1,understanding
0,i hope he give a maximum of 10 mins waiting time in the class because most of the time it is more than that. there are times that we are waiting for 30 mins just to wait for him.
0,"be more approachable.
"
0,di pa po ako nakakapagexam di tinry ko po icontact sa messenger pero di naman po nagrereply :>
0,more setting examplesto the lesson.
0,"please teach on the day of your class, if you can't teach, please inform your students immediately so that they are aware, we will not always ask if there is a class or not, whether you will give activities or lectures, i hope it's sooner and i hope you can give, you're not the only one who promises to give activities or lectures. that's all."
0,"i hope he is more confident about explaining the questions of students, if they did not understand some of the lesson."
1,thank you sir
0,limited example on activities
0,"although busy in some projects or agendas, he should allot time studying or preparing for the lesson beforehand."
0,consistency in teaching
1,"he's good. there's nothing for him to improve, just maintaining it."
0,schedule of live discussion
0,student and instructor communication
0,should practice using lms.
0,"i think, it would be better if more interactive discussion is done."
0,mas maganda siguro pag may power point presentatiion habang nag tuturo
0,be more responsible
0,magturo din po sana ng lesson.
0,cooperation skills
0,lessen the activity and more on explaining.
0,stop giving us so much baggage!
1,magaling na guro
0,too much activities
1,he's good and gentle. no pressure on this subject
0,more examples and video for the activities
0,having more examples.
1,"nothing , 100% well good"
1,nothing else.
1,so far she's doing good so that's it be consistent
1,"she's approachable. there's nothing for her to improve tho, she's awesome."
0,the explanation how to do the specific activities
1,"none ,its lucky and privileged to have a prof like maam au"
1,she's doing good be consistent.
1,there's nothing for her to improve tho. she's a good teacher but a bit scary and strict which is good naman.
1,wala na po
1,none at all
1,i like her. she's good and gentle.
1,so far so good continue to be like that.
0,way of teaching
0,"to be more strict professor, because maam samoza is so kind hearted and soft and there is a possibility that students might take advantage her and not to take the subject seriously. 
"
1,nothing. she's good and gentle.
1,no magaling and effective instructor na po sya
1,so far so good continue to teach like that.
0,"more consideration, and use only the schedule given by the school"
0,be more considerate
0,have consideration and try to discuss missed topics due to lack of time.
0,"kapag po exam day, exam day lang po sana. di po sana isasama ang quiz. tsaka po sana yung oras nang pagpapaexam ay hindi alas-10 ng gabi."
0,i would like to point out that she's good in teaching but hoping na mas marami yung interaction while discussion. like tatanungin niya kami and we will respond back para mas matest niya na lahat ng student is participating.
0,a lot. she shouldn't give us a quiz during saturday night. weekends is our rest day for the stressful days we had but then hilig nyang magbigay ng exam ng gabi at talagang sabado pa!!! she's hard to reach out sometimes. but she's considerate.
0,"cooperation ,communication and consideration such as ability to listen and understand the students concern wholeheartedly."
0,sana po walang surprised quiz
0,there are times that their internet connection isn't working properly
0,i hope he can find time to discuss the modules despite of his busy schedule in the office.
0,to teach every session
0,be more responsible
0,"teaching. 

we understand that all of us has busy schedule or agendas but he should not give a less priority his students. unapproachable one. nakakadissppoint lang na nageeffort kami due to fact na we love arts and we are willing to learn arts pero sa ginagawa niya nakakawalang gana i-take itong class sakanya. hindi marunong mag-appreciate ng arts ng iba ika nga mga kaklase ko. unappropriate lang na nakita namin siya na nakahiga habang nagrereport kami, pinaghandaan namin report namin. thank you. god bless ♥️"
0,"he better be a good communicator to his students. we need someone who will teach us, not someone who will add some stress and burden on us. just saying :)"
0,availability and time management
0,more synchronous class
0,time management and focus
0,"maglesson po sana, buong semester never po siyang nag lesson saamin."
0,mas maganda siguro pag may power point presentatiion habang nag tuturo
0,"this course is very interesting but we are always on asynchronous, i think it is better if we have synchronous sessions"
0,"she lacks punctuality, but we students know she has reasons and still updates us."
0,"1. i hope she is not dependent on uploading videos to teach us.
2. we need more classes with interactions about the topic.
3. she has a few synchronous class with us, i hope he will be more active in creating synch class because her topic is one of our major subjects."
0,meet us in class we want her to see :(
0,"physically and her gadgets. she's constantly getting sick so she can't make classes to us, and it's sad. gadgets because her laptop is always broken and damaged and it also causes of not having classes to her, ending up of we need to self-study."
0,less background music for the video tutorials she gave us :)
0,give some feedback for the students.
1,"none, because he is always gives consideration in every situations."
0,"there are some times where the instructor did not meet us during our class hours, probably because he has many important matters that needs to be settled."
0,give more time for academic exchange during class
1,none as of now.
0,about the lesson
1,i don't see any areas of improvement for him because he is good enough.
1,"none , so far"
0,instructor's commitment on the online class schedule.
0,conducting synchronous class
0,make the deadline of submission longer.
0,her deadlines sometimes are too rush.
0,make the teaching more lively
0,"in terms of giving deadlines, she must be considerate. she must consider too that her students have other subjects and things to do aside from her course."
0,about information of fs
0,setting deadlines
0,"her knowledge about the course. there are times she says, ""hindi ko alam"" whenever she's ask. she says she'll get back on that but never discussed about it the next meeting."
0,"the instructor is very strict when it comes to deadlines, so there are some students who sometimes fail to pass their outputs due to personal concerns and difficulty of the task. moreover, the instructor always say that were already late in our lesson and submission of our outputs. while in fact, we are actually far more advanced compared to other sections."
1,"none, so far"
0,give a longer deadline for the activities..thank you.. :)
0,"she needs to consider the time of the students in terms of the deadline, because there are students especially the working students who are not always updated."
0,give the student specific target time on passing activity because sometimes we are shock that we need to accomplish the task ahead of time
0,synchronous class
0,i think she needs to be considerate sometimes and don't give too much activities.
1,he is good in teaching. i have nothing to say.
0,communication during class hours
1,nothing at all
1,i don't think this teacher needs improvement because he give his bet to understand the lesson
1,he's great
0,he needs to be more open-minded concerning different perspectives and answer of his students.
1,"i think, nothing."
0,accessibility outside class hours
1,i don't think this teacher needs improvement because he give his bet to understand the lesson
1,"i think, nothing"
1,i don't think this teacher needs improvement because he give his bet to understand the lesson
1,"i think, nothing"
0,she must engage us in recitation.
0,provide some interesting activities that are inclined with the subject course
0,it needs improvement when it comes to the learning materials.
0,"the professor needed to update the students if there will be classes or not. also, improvement on giving instructions on given task."
0,make time for the students
1,i don't think this teacher needs improvement because he give his bet to understand the lesson
0,"she needs to improve her activities instructions because some of it are not complete thought, and it gives some confusion to the students. moreover, she should follow the date and time of uploading activities in lms because she uploaded the midterm activities in finals date accomplishment. furthermore, she is often absent in our synchronous season and not teaching and guiding us to understand the module."
0,"clarity in providing instructions and time for online session
"
0,"ma'am sometimes can't make it to our class and left a lot of activities which i find difficult to cope up. i hope that, please lessen the activity because i am a slow learner."
0,"the instructor should provide comprehensive the reading materials, the instruction on the activity and must be teach on the synchronous class,"
0,give enough time and instructions for us students since she gives a lot of activities at a time. we're kinda lost at times about what we have to do and were just shocked that there are activities without informing us.
0,more time to discuss the lesson
0,"make sure to give appropriate and understandable instructions in every activity, quiz, and exam provided."
0,please decrease the number of activities
0,her approach.
0,i advise prof that she should not judge her students quickly telling us that we have no common sense as well as not compare us to her previous students because we are in online class and not face to face and it was hard for us to adjust in the first place. she was hard to message because she just seen our messages
0,"to have a time for us to teach her lesson. the video that we requested from ma'am was not fulfilled, and it was not good for ma'am to compare us to her previous students ( i will not further explain this topic po for its personal and confidential)."
0,she must be consistent in meeting the student synchronously and give clear instructions.
0,"this is my personal opinions, she must be organized in everything especially in the activities. 
 she must measure the amount of activities she uploaded in lms. she must provide activities after each lessons and not giving over activities to comply without discussing the lessons.
she must have plan for the required lessons and conduct a consultation or see us online as often as possible. she must avoid seeing us when the exam are far approaching. what i mean is that she must meet us online as often as possible and not only meet us once, which is a day before the exam schedule."
0,"maybe the time,since he always has a conflict in time"
1,i don't think this teacher needs improvement because he give his bet to understand the lesson
1,"if we base on his skills and learning, i think that is enough to learn students effectively."
0,he needs to start being consistent in his synchronous classes in his subject.
1,there is nothing to improve because he did the best to teach us.
1,nothing really for me. he was the most knowledgeable teacher who taught his students even when he was ill and made sure to compensate for his missed lessons and classes.
1,almost perfect but the focus on our time.
0,the time for the subject because sometimes sir is busy and can't able to make it on our class.
0,be accessable in his time schedule for the students concerns.
0,prof could improve by having an exchange of communication with students like recitations to make us engage in the lesson more.
1,there's no need for improvement because we can easily understand his lesson and the way he teaches.
0,"for me, the thing that is needed to be improved is how was the time handled, but i still understand since professors have busy schedules."
0,develop student-centered approach
0,please focus on one class at a time
0,create interactive activities during class hours
1,i don't think this teacher needs improvement because he give his bet to understand the lesson
1,"i think, nothing"
0,she must follow her schedule time of asynchronous.
0,"she needs to be consistent in meeting the students' needs, like synchronous classes."
0,"give activities on our scheduled time that there is no classes instead of giving it on the other day, and give ample time to finish the task because we do have classes to attend."
0,she needs more time in catching up with our online class.
0,meet us onile as often as possible.
0,discussing the lessons
0,clearer explanations and easier to understand modules
1,"no need to. he is so strategic, very well when it comes to instructions and explanations."
0,setting more examples.
1,job well done. he's a role model
0,the final mechanics for the project is hard specially for us non artistic students and given a short span of time since we also have a lot of activities to do. be more considerate of other stuffs that we cannot control
0,give an examination in accordance with what is taught even if it is a situational examination as long as what is taught is applicable.
1,i don't think this teacher needs improvement because he give his bet to understand the lesson
1,"i think, nothing"
0,provide appropriate feedback and constructive criticism
0,"particularly in difficult mythology lessons, clarity and gradual explanation are essential."
0,be considerate to a student concern especially when its valid.
0,i hope she will explain the lessons in future
0,time for online session
0,provide the concrete explanation for the materials that students struggle to understand
1,i don't have thoughts in my mind that she needed to improve because i understand why she can't attend our synchronous class; hence she is pregnant and needs to rest and prevent stress.
0,"due to the professor's health issue, we are not able to meet on our online class but i do understand since it is a matter of health, i do suggest to update students if there will be a class or none."
1,"she's really good, she just have to make time for herself since she's pregnant,that is why she's having conflict in time."
1,i don't think this teacher needs improvement because he give his bet to understand the lesson
0,must have consistency in synchronous classes.
0,to be honest i only see ma'am once or twice on our class time? i'm not sure. ma'am need a time for our online class.
0,have a quality time to meet us and discuss the lesson
0,i find it hard to communicate with her outside class hours.
0,"the professor might as well improve the consideration she gives because some students were not able to take quizzes since she only give a limited time to answer. also, hope that she will be easy to contact since sometimes there's inquiries that was not answered."
1,i don't think this teacher needs improvement because he give his bet to understand the lesson
0,create a very interactive activities during online session
1,"i think, nothing"
0,"must be freely reachable, particularly when students have questions"
1,"i think, nothing."
1,everything is great.
1,none. i really enjoy each classes.
1,i don't think this teacher needs improvement because he give his bet to understand the lesson
0,create interactive activities during online session
0,maybe loudness of voice
0,i think she needs to become a more understanding and considerate person.
1,nothing to improve
1,there is no areas for sir needs improvement with.
1,"prof. is very skilled and enthusiastic when it comes to his teaching, yet we would be grateful if you consider including our tasks progress/results in the lms e-guro. thank you so much!"
0,encourage cooperative learning.
1,i think he has nothing to improve because he is a great instructor.
0,improves self to take problems and stress. and having a peaceful mind to become healthy.
1,i'm contented with his capabilities as a teacher and i think there's nothing i can suggest to improve.
0,meeting us>?
0,i think there's no areas for sir that needs improvement with.
0,we didn't have synchronous classes
0,give more idea on the lesson that we study
1,nothing to improve
0,i think mas improvement sa tools na gagamitin minsan yun po kasi ang problem and time i think.
0,the teaching time
0,time to teach
0,"every time we offer a suggestion, he is prepared to listen to us."
0,he improves avery time he meet us because he have a new strategy for us to understand the lesson.
1,i'm contented with his capabilities as a teacher and i think there's nothing i can suggest to improve.
0,we didn't have much time to meet each others because he was just replacing our former teacher.
1,we'll get to see him more.
0,i think there are no areas that sir needs improvement with.
0,teaching the course through a lot of times
1,"i can't seem to think of any, sir is professional when it comes to teaching, he concretes his teachings in the minds of his students, and gives his students enough time to accomplish their tasks."
0,giving update for the student needs.
0,give some response to the students
0,should teach more often
0,encourage cooperative learning.
1,there is no areas for sir needs improvement with.
1,nothing to improve
1,i don't think there is anything to improve because the teaching he does is good.
1,"there is nothing to improve, because he is also a good instructor."
1,i'm contented with his capabilities as a teacher and i think there's nothing i can suggest to improve.
0,time to answer the activities is too short
0,encourage cooperative learning.
0,all students should learn and understand the lesson.
0,i think there's no areas for sir that needs improvement with.
0,"please watch your mouth sometimes, because one of my classmate get offended when he's joking."
1,so wala naman pero minsan hindi lang nagkakaroon ng klase kasi emergency at may problema kaya namn wala akong ma e recommend na improvement na kailangan gawin.
0,more interaction
0,give some time when it comes to the activity that we have
1,"is a very skilled prof when it comes to teaching however we would greatly appreciate considering a settled synchronous time schedule. on the other hand, sir's classes are incredibly relaxing and enjoyable to attend."
0,improves the accent .
1,there is no areas for sir needs improvement with.
1,"nothing to improve about, it's not the best but it will be better for some times"
1,nothing to improve
1,nothing to improve
0,"inconsiderate, mataas tingin sa sarili,"
0,"i'm having a hard time communicating to other students which make it so hard to do groupworks.
ma'am always gives group related activity."
1,i think there's no areas for ma'am that needs improvement with.
1,"i can't seem to think of any, ma'am mayo is a very skilled professor, friendly, positive, and always gives her students enough time to accomplish their tasks."
0,encourage cooperative learning
0,don't shout while teaching.
0,give more ideas to the lesson
0,"get to meet more 
"
1,there is no areas for ma'am needs improvement with.
0,i think i have no advice because she knows how she can interact and yung makibagay kung hanggang saan kami.
1,nothing should be improved because she is a great instructor.
1,i think there's no need for improvement
1,"the improvement of the way she teach, excellent teacher"
0,she needs improvement in some things but she handled it.
1,i'm contented with her capabilities as a teacher and i think there's nothing i can suggest to improve.
0,teach the necessary information that not easily understand the topic or module.
0,create a welcoming environment
0,more online meetings
0,he needs to improve his time in teaching his students in order for the students to learn more within this course.
0,we didn't meet him that much and the class is hard.
0,give some time to discuss what's inside the module
1,easy to understand
1,i think there's no areas for sir that needs improvement with.
0,"time in meeting us
"
0,rarely teaching to us.
1,"nothing, because sir. can provide the materials for his subject and we will also study the subject."
0,teach every students because we want to learn
0,time to teach
0,i suggest that even though the lesson is very understandable i hope we can still have an online classes so we can clarify something that we find hard to understand.
0,"must teach more often, we barely have online class"
0,maybe the area i want my instructor to improve in this subject is his teaching.
0,be more communicative to your students :>
1,there is no areas for sir needs improvement with.
0,the time for teaching or meetings for the class.
0,"needs to teach the course very well, we rarely have a class on him"
0,"sir is well-versed in the subject, but we would greatly appreciate it if you inform your students regarding the status of their synchronous class/lesson. on the other hand, sir's classes have a comfortable atmosphere and are enjoyable to attend."
1,nothing need for improvement
0,all students should learn and understand the lesson.
0,"if we don't understand what she's saying, she'll explain it again."
0,ww get to meet more virtually.?
1,there is no areas for ma'am needs improvement with.
0,i'm contented with her capabilities as a teacher and i think there's nothing i can suggest to improve.
0,each instructor should have or assemble a formative assessment for the whole class by asking what we have learned or if we really understand the lessons they have discussed.
1,"none, ma'am is a highly skilled professor, has her unique manner of teaching, is straightforward, and is a professional."
1,"everything is well, but there's a possibilities that the instructor will deliver the lessons more than before"
1,i don't think there is anything to improve because she teaches well.
1,i think there are no areas for ma'am that needs improvement with.
0,the instructor improves also in the of teaching. she teach us properly and confidently.
1,i think wala namn kasi okay si maam sa paraan ng pagtuturo nya.
0,long patient
0,i think we need more ideas in the lesson that we have
0,encourage cooperative learning.
0,it's hard to get around the time to answer activities because of my part time job!
0,i think he lacks a bit of patience.
1,nothing to improve his perfect
1,"there is no need to improve. he's already gave us experience of a good quality education and among of the other profs, he's my favorite because he wants his students to analyze his lessons, and it's really effective to us."
0,very improvements in our lesson and discussion because i believe him is to be kind and concern and helpfulness
0,the areas of improvement for the instructor is the connection to the students in discussion and a not so long online class.
0,"hmmmm, maybe she should be more energetic in discussing because her voice is so calm to the point that it's like she is encouraging us to sleep. but the rest, it's all good, thank you."
1,"i have no comments because they are that good in what they are doing. kudos to you, ma'am. i appreciate your hard-work and efforts."
0,additional assessments for the students to test the knowledge.
1,she is willing to hear our suggestions and ideas.
0,be more techy savvy.
1,"i can't seem to think of any, is a wonderful teacher who is very considerate of her students. and communicates with students/each representative in a humble manner"
1,i think there are no areas that ma'am needs improvement with.
1,there's nothing to improve but the communication outside the class
1,there is no areas for ma'am needs improvement with.
0,encourage cooperative learning
1,i don't think there is anything to improve because the teaching she does is good.
0,interaction
1,i think she is okay if this is kind in personal learnings she can be better than this kind of learning.
0,i think the improvement is give more idea about the topic
0,give some examples for us to understand more.
0,encourage cooperative learning
0,the areas need improvement for instructor is about more time for teaching. because sometimes the time is not enough for meetings.
0,we rarely class on her
1,i'm contented with her capabilities as a teacher and i think there's nothing i can suggest to improve.
0,the improvement is i think we need to learn more on this subject
0,create a welcoming environment and encourage cooperative learning
0,i think yung kailangan ipaliwanag ng husto yung nga gagawin may mga estudyante kasing mahina at di agad nakakakuha ng tinuturo improvement sa pagpapaliwanag.
0,please teach slowly because he is so fast when he is teaching sometimes we don't understand the discussion and he is rarely teaching to us.
0,"hopefully, when we submit an activity, it will not be until 12 midnight, whereas he gives the activity at 8 pm. at least tomorrow is the deadline."
1,he improves by giving us instructions like learning materials.
1,he's really good in teaching
0,deadlines of the activites
1,there is no areas for sir needs improvement with.
0,"needs to improve the teaching progress, especially to the students who are not a fast learner, the instructor needs to improve the way he teach"
0,he needs to improve his teaching in order for us students to learn more
0,i suggest that maybe he can handle his time very well. we have a schedule to follow and i wish he can have an online classes according to the schedule.
0,more online meetings between students and instructors
0,it's hard to keep up in class because sir expects us to already know how to get around the course. and sometimes the lack of instructions.
1,"sir is highly skilled with regards to the major subject, but we'd appreciate it if you could tackle the lessons organized and clearly, so the students will have clarity on the subject because personally speaking, there are slow learners like me who can't seem to follow. 
on the other hand, i will work hard and give my best to follow and study the subject to achieve my main goal in the future. thankyou so much!"
1,i think there's no areas for sir that needs improvement with.
0,encourage cooperative learning
1,"nothing to improve, she teach us in the way that we can understand"
1,nothing to improve
1,i'm contented with her capabilities as a teacher and i think there's nothing i can suggest to improve.
1,"i can't seem to think of any because prof. is very considerate and polite, she regularly provides synchronous classes, always strives to help her students understand the subject, and responds to students' messages even after the consultation schedule."
0,all students should learn and understand the lesson.
1,i think no more improvement maam is good in teaching and he knows how students can catch up easily.
0,encourage cooperative learning.
1,there is no areas for ma'am needs improvement with.
0,internet connection.
0,it's very hard to catch up when we are finishing works fast beacause of lack of time. but ma'am compensates by sending videos of are class.
0,improvements in the way of showing her self thougths.
1,i think there's no areas for ma'am that needs improvement with.
1,"for me, there is nothing because maam teaches her lessons well."
0,she just have some problems about the gadgets and internet
0,give us more time to answer the activities.
1,i didn't see any improvement
1,"there's nothing to improve, she is very suitable for this course."
0,i hope she gives us a long time for every exam because there is computation. it can't be rushed because we might make mistakes. so i hope she just adds a little more time every time there is an exam in her subject.
0,always ask the student if they understand the lesson to give them a chance to understand and can able to answer the activities regarding to the lesson
1,"the instructor possessed all the qualities of being an effective teacher in teaching the course. therefore, i conclude that there are no areas that needed for improvement."
0,update the students when there is a change of schedule
0,the use of technology.
0,i guess he should help us to be prepared for our let exams
0,update if there is synchronous class
0,don't have enough time to meet the class
0,update the students/class if there is a change of time because sometimes the students are already ready but late announcement of having a change of schedule
1,parang wala naman po
0,the use of technology.
1,i couldn't think of any
1,"the instructor possessed the qualities that were worth emulating, especially on the ways of teaching the course. therefore, i believe that there are no areas that needed for improvement."
0,"this midterm and final semester, we often see him, we don't if he is busy but i hope if next semester he can able to have a lot of meetings or online classes, because he is very knowledgeable professor, he still a lot to share and teach."
0,"he can inform his students beforehand if he cannot attend the class. also, recheck the answer key of his quizzes and assessments to avoid problems with the students' score"
0,sana po madgadagan numbers of meeting
0,there are times he is not attending to the class. and we don't know the reason.
0,"- should give a heads up if there will be a class or none
- should at least provide a way of communication (e-mail, messenger, sms)"
0,time- management always meet his student
0,"sana po magsabi siya kung hindi siya makakapag klase kasi sayang po yung oras sa paghihintay, imbis na nalalagyan na po ng ibang schedule sa oras na 'yon. and naiintindihan naman po namin ang internet connection problems, pero nung unang una palang po, late na siya magbigay ng class link tapos bigla po siyang nawawala. sayang po sa oras. prelims lang siya nakapag-turo. sana advance po yung link, kasi maiintindihan naman po namin ang internet connection."
0,"time management, preparedness/readiness, and communication skills."
0,the internet connection po ni sir. i hope it will be better for the next sem.
0,he has a lot of shortcomings to our class.
1,"nothing, because he is great teacher."
0,"i know that he is very strict for a reason. but most of the time, he is very strict with the deadline of the activities and with the time allotted for quizzes/assessments. it pressures us and somehow affects our performance. i hope that in the future, he can give us more time to comply with his requirements and also an enough time to answer the exam."
1,no comment but keep smiling sir
1,nothing to improve
1,"there is nothing to improve on his teaching skills, he is very well in doing so, but i think he can still improve his professionalism and transparency."
0,more exposure to the literature po sana.
0,"i'm really nervous at the same time scared in you as a professor, to the point i feel the pressure. you're really a great professor sir. but sometimes you intimidates us."
0,he is just a bit strict for me.
1,no need for improvement because sir kris is already a great professor
0,"his pronunciations, because there are times the professor talks very fast and i didn't understand what he is talking about."
1,"he lets us enjoy, not to be pressured with the subject. hence, he could still improve this teaching strategy by expressing himself more as he communicates with students."
1,i don't see anything for improvement since i sincerely like how he teach.
1,i don't see any areas where he can improve because he is whole as a teacher.
1,i don't think for any improvements but to you sir please continue your good traits as a teacher
0,i think it is the consistency of giving positive reinforcement and acknowledgement.
1,"i can't say any word for his improvement, because i really find him a great professor."
1,nothing to improve
1,wala naman po
1,"nothing, because he is always on time of the days that he have scheduled class on our section."
0,the instructor needs to encourage the students to participate more in class.
1,no more to the improvement because he understand the situation on every student
1,"for me he has a vision , which he see whats happening around class and learning and make an adjustments and grow."
0,communication skills.
1,good instructor
0,encourage cooperative learning.
1,"probably none, since, for me, he is already such a great professor anyway."
0,additional time limit consideration when it comes to quizzes.
0,lessen projects
1,good instructor
0,create a welcoming environment and allow students to give feedback directly after the class
0,try to have some time of making fun along the discussion to ease boredom and burden.
0,more teaching methods
1,"probably none, since, for me, she is already such a great professor anyway.
"
1,good in explaining the lessons
0,clearer visualizations of the presentations
